Date,Category,Region,Revenue,Units_Sold
2026-02-21,Hardware,South,,3
2026-04-03,Software,South,375.68,2
2026-01-15,Hardware,South,706.04,6
2026-03-13,Cloud Services,North,254.24,2
2026-03-02,Electronics,East,305.76,3
2026-01-21,Software,East,,6
2026-03-24,Electronics,North,657.44,5
2026-03-28,Electronics,East,1376.53,8
2026-03-16,Software,North,,9
2026-03-16,Hardware,East,891.85,3
2026-03-29,Electronics,West,966.78,3
2026-04-10,Cloud Services,West,68.99,3
2026-01-24,Electronics,South,1012.13,6
2026-01-03,Software,West,308.15,1
2026-01-22,Software,West,1443.55,7
2026-02-22,Software,West,265.56,1
2026-01-02,Hardware,North,651.2,5
2026-03-29,Electronics,West,173.76,8
2026-01-30,Hardware,West,1495.47,4
2026-02-07,Hardware,South,778.18,5
2026-01-02,Software,West,913.31,4
2026-03-05,Software,West,147.26,4
2026-03-01,Hardware,East,1137.44,8
2026-01-21,Electronics,South,354.36,2
2026-02-02,Cloud Services,South,1352.18,1
2026-03-17,Hardware,South,347.45,3
2026-02-27,Electronics,South,326.5,9
2026-01-22,Software,South,103.0,4
2026-03-30,Software,South,734.5,5
2026-02-18,Electronics,North,869.02,2
2026-04-01,Cloud Services,West,145.28,4
2026-02-28,Software,South,1174.52,2
2026-02-11,Software,West,707.27,2
2026-04-02,Software,West,810.37,4
2026-03-01,Electronics,North,689.11,6
2026-03-21,Hardware,South,631.11,7
2026-01-15,Software,East,861.48,3
2026-03-03,Hardware,North,275.1,3
2026-03-03,Cloud Services,East,313.8,6
2026-02-16,Software,West,1299.59,3
2026-03-03,Software,West,1421.87,2
2026-02-20,Cloud Services,North,591.3,8
2026-02-24,Software,North,442.58,5
2026-03-05,Hardware,East,983.8,1
2026-01-03,Electronics,South,642.66,3
2026-02-20,Hardware,East,86.81,8
2026-01-07,Electronics,North,276.42,4
2026-01-21,Electronics,East,1088.16,7
2026-03-14,Hardware,North,1005.44,2
2026-02-08,Hardware,East,89.29,7
2026-01-18,Hardware,North,371.86,5
2026-01-04,Hardware,North,385.06,5
2026-03-30,Cloud Services,North,1024.24,6
2026-03-01,Software,South,78.58,9
2026-01-14,Electronics,East,200.96,6
2026-01-09,Hardware,East,,8
2026-03-31,Hardware,East,308.89,7
2026-02-22,Hardware,North,996.48,9
2026-01-02,Cloud Services,East,,4
2026-03-25,Hardware,East,194.19,2
2026-04-02,Hardware,North,402.6,7
2026-03-01,Hardware,West,,6
2026-03-12,Software,North,1290.76,1
2026-02-13,Cloud Services,East,1253.82,9
2026-01-08,Hardware,North,625.92,9
2026-02-16,Electronics,West,1018.72,2
2026-02-04,Electronics,North,347.23,3
2026-03-19,Electronics,East,475.06,5
2026-03-22,Cloud Services,West,1349.69,5
2026-02-05,Cloud Services,South,68.85,1
2026-02-19,Electronics,East,173.99,8
2026-01-04,Hardware,West,351.44,8
2026-01-02,Cloud Services,West,88.47,4
2026-01-06,Electronics,South,313.08,7
2026-02-23,Electronics,North,895.41,3
2026-01-04,Hardware,North,661.07,6
2026-02-23,Software,East,1344.37,9
2026-04-03,Cloud Services,South,1235.29,1
2026-03-04,Hardware,North,545.64,5
2026-01-18,Electronics,South,426.16,4
2026-03-31,Electronics,North,600.55,8
2026-02-13,Hardware,West,905.93,1
2026-02-03,Cloud Services,North,438.69,9
2026-03-15,Software,South,955.02,6
2026-03-03,Software,West,643.65,4
2026-04-10,Electronics,West,850.47,9
2026-01-14,Cloud Services,West,682.38,5
2026-04-05,Software,South,476.98,5
2026-02-17,Cloud Services,East,1425.26,5
2026-01-15,Cloud Services,East,1157.23,1
2026-03-13,Electronics,East,253.16,1
2026-03-19,Software,South,,8
2026-03-28,Hardware,West,756.78,8
2026-03-03,Electronics,East,1347.1,6
2026-02-09,Software,South,1209.79,4
2026-03-26,Software,East,,2
2026-03-21,Software,North,82.58,2
2026-03-23,Software,East,439.58,9
2026-02-22,Software,East,835.37,5
2026-01-24,Cloud Services,West,968.54,4
2026-01-26,Electronics,South,423.94,1
2026-03-30,Cloud Services,West,252.07,7
2026-03-01,Hardware,West,1260.65,3
2026-02-10,Software,West,1477.38,6
2026-01-29,Electronics,West,812.25,5
2026-01-15,Software,West,298.93,5
2026-02-14,Electronics,East,444.85,5
2026-03-06,Cloud Services,West,76.67,1
2026-03-30,Electronics,West,1375.73,1
2026-03-12,Hardware,South,220.74,3
2026-01-09,Hardware,North,885.95,4
2026-03-29,Electronics,East,447.38,5
2026-01-01,Electronics,East,853.56,2
2026-01-08,Electronics,East,994.56,8
2026-03-29,Electronics,West,1253.13,2
2026-03-04,Hardware,West,349.31,9
2026-01-11,Software,West,65.94,2
2026-03-22,Electronics,South,248.48,9
2026-01-08,Electronics,North,1355.03,7
2026-02-04,Hardware,West,1317.14,8
2026-02-04,Hardware,North,916.25,2
2026-02-02,Cloud Services,South,920.75,7
2026-01-05,Electronics,East,1014.3,6
2026-02-10,Cloud Services,West,304.29,4
2026-01-28,Hardware,North,1375.9,7
2026-01-07,Hardware,North,657.22,4
2026-03-14,Software,West,605.55,2
2026-03-13,Electronics,East,802.43,7
2026-01-12,Cloud Services,East,118.1,8
2026-02-03,Hardware,East,291.11,2
2026-02-02,Hardware,South,,5
